,core_genes,extended_genes,core_source,extended_source
0,BRCA2,FHIT,Malacards,RegNetwork
1,BRCA2,ESR1,Malacards,RegNetwork
2,BRCA2,RAD51,Malacards,RegNetwork
3,BRCA2,ETS1,Malacards,RegNetwork
4,BRCA2,MYC,Malacards,RegNetwork
5,BRCA2,NFKB1,Malacards,RegNetwork
6,BRCA2,RAD51,Malacards,RegNetwork
7,BRCA2,RELA,Malacards,RegNetwork
8,BRCA2,TP53,Malacards,RegNetwork
9,BRCA2,USF1,Malacards,RegNetwork
10,BRCA2,USF2,Malacards,RegNetwork
11,BRCA2,PLK1,Malacards,STRING
12,BRCA2,RAD51,Malacards,STRING
13,BRCA2,PALB2,Malacards,STRING
14,BRCA2,CDK2,Malacards,STRING
15,BRCA2,SHFM1,Malacards,STRING
16,BRCA2,TP53,Malacards,STRING
17,BRCA2,XRCC3,Malacards,STRING
18,BRCA2,BRCA1,Malacards,STRING
19,BRCA2,DMC1,Malacards,STRING
20,BRCA2,HMG20B,Malacards,STRING
21,BRCA2,FANCD2,Malacards,STRING
22,BRCA2,BARD1,Malacards,STRING
23,BRCA2,FANCG,Malacards,STRING
24,PALB2,E2F1,Malacards,RegNetwork
25,PALB2,E2F2,Malacards,RegNetwork
26,PALB2,BRCA1,Malacards,STRING
27,PALB2,RAD51,Malacards,STRING
28,PALB2,KEAP1,Malacards,STRING
29,PALB2,BRCA2,Malacards,STRING
30,PALB2,MORF4L1,Malacards,STRING
31,PALB2,MORF4L2,Malacards,STRING
32,CHEK2,ATM,Malacards,RegNetwork
33,CHEK2,TP53,Malacards,RegNetwork
34,CHEK2,TP53,Malacards,RegNetwork
35,CHEK2,ILKAP,Malacards,STRING
36,CHEK2,CDC25A,Malacards,STRING
37,CHEK2,TP53,Malacards,STRING
38,CHEK2,BRCA1,Malacards,STRING
39,CHEK2,CDC25C,Malacards,STRING
40,CHEK2,ATM,Malacards,STRING
41,BRIP1,MLH1,Malacards,STRING
42,BRIP1,PMS2,Malacards,STRING
43,BRIP1,TOPBP1,Malacards,STRING
44,BRIP1,BARD1,Malacards,STRING
45,BRIP1,BRCA1,Malacards,STRING
46,RAD51,BRCA2,Malacards,RegNetwork
47,RAD51,BRCA2,Malacards,RegNetwork
48,RAD51,E2F1,Malacards,RegNetwork
49,RAD51,E2F2,Malacards,RegNetwork
50,RAD51,E2F4,Malacards,RegNetwork
51,RAD51,MYB,Malacards,RegNetwork
52,RAD51,MYC,Malacards,RegNetwork
53,RAD51,TP53,Malacards,RegNetwork
54,RAD51,BRCA2,Malacards,STRING
55,RAD51,RAD52,Malacards,STRING
56,RAD51,BLM,Malacards,STRING
57,RAD51,XRCC2,Malacards,STRING
58,RAD51,FANCD2,Malacards,STRING
59,RAD51,H2AFX,Malacards,STRING
60,RAD51,PALB2,Malacards,STRING
61,RAD51,ATRX,Malacards,STRING
62,RAD51,SUMO1,Malacards,STRING
63,RAD51,DMC1,Malacards,STRING
64,RAD51,RAD51AP1,Malacards,STRING
65,RAD51,XRCC3,Malacards,STRING
66,RAD51,BRCA1,Malacards,STRING
67,RAD51,TP53,Malacards,STRING
68,RAD51,ABL1,Malacards,STRING
69,PIK3CA,ESR1,Malacards,RegNetwork
70,PIK3CA,PGR,Malacards,RegNetwork
71,PIK3CA,TP53,Malacards,RegNetwork
72,PIK3CA,PIK3R1,Malacards,STRING
73,PIK3CA,EGFR,Malacards,STRING
74,PIK3CA,PIK3R3,Malacards,STRING
75,PIK3CA,HRAS,Malacards,STRING
76,PIK3CA,IRS1,Malacards,STRING
77,PIK3CA,PIK3R2,Malacards,STRING
78,PIK3CA,AKT1,Malacards,STRING
79,AKT1,hsa-miR-125b,Malacards,RegNetwork
80,AKT1,hsa-miR-155,Malacards,RegNetwork
81,AKT1,hsa-miR-181c,Malacards,RegNetwork
82,AKT1,hsa-miR-22,Malacards,RegNetwork
83,AKT1,AR,Malacards,RegNetwork
84,AKT1,ESR1,Malacards,RegNetwork
85,AKT1,FOXO1,Malacards,RegNetwork
86,AKT1,FOXO3,Malacards,RegNetwork
87,AKT1,IKBKB,Malacards,RegNetwork
88,AKT1,IKBKG,Malacards,RegNetwork
89,AKT1,NFKB1,Malacards,RegNetwork
90,AKT1,NFKB1,Malacards,RegNetwork
91,AKT1,NFKBIA,Malacards,RegNetwork
92,AKT1,NFKBIB,Malacards,RegNetwork
93,AKT1,NKX3-1,Malacards,RegNetwork
94,AKT1,PPARA,Malacards,RegNetwork
95,AKT1,PPARG,Malacards,RegNetwork
96,AKT1,RELA,Malacards,RegNetwork
97,AKT1,RELA,Malacards,RegNetwork
98,AKT1,TP53,Malacards,RegNetwork
99,AKT1,MTOR,Malacards,STRING
100,AKT1,MAPKAP1,Malacards,STRING
101,AKT1,MDM2,Malacards,STRING
102,AKT1,RAF1,Malacards,STRING
103,AKT1,BRCA1,Malacards,STRING
104,AKT1,ILK,Malacards,STRING
105,AKT1,RICTOR,Malacards,STRING
106,AKT1,BRAF,Malacards,STRING
107,AKT1,PRKCZ,Malacards,STRING
108,AKT1,CDC37,Malacards,STRING
109,AKT1,EP300,Malacards,STRING
110,AKT1,HSP90AA1,Malacards,STRING
111,AKT1,AR,Malacards,STRING
112,AKT1,CDKN1A,Malacards,STRING
113,AKT1,FOXO3,Malacards,STRING
114,AKT1,PPP2CA,Malacards,STRING
115,AKT1,BAD,Malacards,STRING
116,AKT1,NOS3,Malacards,STRING
117,AKT1,HSPB1,Malacards,STRING
118,AKT1,MAPK14,Malacards,STRING
119,AKT1,CHUK,Malacards,STRING
120,AKT1,FOXO1,Malacards,STRING
121,AKT1,PAK1,Malacards,STRING
122,AKT1,AKT2,Malacards,STRING
123,AKT1,PIK3CA,Malacards,STRING
124,AKT1,APPL1,Malacards,STRING
125,AKT1,SKP2,Malacards,STRING
126,AKT1,MAPKAPK2,Malacards,STRING
127,AKT1,IKBKB,Malacards,STRING
128,AKT1,XIAP,Malacards,STRING
129,AKT1,GSK3A,Malacards,STRING
130,AKT1,TCL1A,Malacards,STRING
131,AKT1,CDKN1B,Malacards,STRING
132,AKT1,PDPK1,Malacards,STRING
133,AKT1,RPS6KB1,Malacards,STRING
134,AKT1,TERT,Malacards,STRING
135,AKT1,GSK3B,Malacards,STRING
136,AKT1,THEM4,Malacards,STRING
137,CDH1,CTNNB1,Malacards,RegNetwork
138,CDH1,ESR1,Malacards,RegNetwork
139,CDH1,HOXD9,Malacards,RegNetwork
140,CDH1,WT1,Malacards,RegNetwork
141,CDH1,PSEN1,Malacards,STRING
142,CDH1,CTNNA1,Malacards,STRING
143,CDH1,EGFR,Malacards,STRING
144,CDH1,CTNNB1,Malacards,STRING
145,CDH1,CTNND1,Malacards,STRING
146,CDH1,CDC27,Malacards,STRING
147,CDH1,CBLL1,Malacards,STRING
148,CDH1,JUP,Malacards,STRING
149,CDH1,SKP2,Malacards,STRING
150,CDH1,KLRG1,Malacards,STRING
151,CDH1,SRC,Malacards,STRING
152,CDH1,FGFR1,Malacards,STRING
153,ESR1,DFFB,Malacards,RegNetwork
154,ESR1,GADD45G,Malacards,RegNetwork
155,ESR1,SOCS2,Malacards,RegNetwork
156,ESR1,TFAP2C,Malacards,RegNetwork
157,ESR1,hsa-miR-92a,Malacards,RegNetwork
158,ESR1,hsa-miR-363,Malacards,RegNetwork
159,ESR1,hsa-miR-222,Malacards,RegNetwork
160,ESR1,hsa-miR-221,Malacards,RegNetwork
161,ESR1,hsa-miR-21,Malacards,RegNetwork
162,ESR1,hsa-miR-20b,Malacards,RegNetwork
